THE	TH IH
ECONOMICAL	AH K AH N AH M AH K AH L
RESTORATIVE	R IH S T AO R AH T IY V IH
RESTORATIVE	R AH S T AH R AH T AH V AH
RESTORATIVE	R IH S D AO R AH D IY V IH
OPERATED	AO P IH R AH T IH D
OPERATED	AH P AH R AH T AH D
OPERATED	AO P IH R AH T IH T
OPERATED	AO P IH R AH D IH D
GREASE	G R IH AH S IH
GREASE	G R AH AH S AH
ODOR	AO D AO R
ODOR	AH D AH R
REPAST	R IH P AH S T
REPAST	R AH P AH S T
LAMENTATIONS	L AH M IH N T AH T IY AO N S
LAMENTATIONS	L AH M AH N T AH T AH AH N S
LAMENTATIONS	L AH M IH N D AH D IY AO N S
PREVAIL	P R IH V AH IY L
PREVAIL	P R AH V AH AH L
INTERRUPTIONS	IY N T IH R R UW P T IY AO N S
INTERRUPTIONS	AH N T AH R R AH P T AH AH N S
INTERRUPTIONS	IY N D IH R R UW P D IY AO N S
DISTRESSING	D IY S T R IH S S IY N G
DISTRESSING	D AH S T R AH S S AH N G
DISTRESSING	D IY S D R IH S S IY N G
PITEOUSLY	P IY T IH AO UW S L Y
PITEOUSLY	P AH T AH AH AH S L Y
PITEOUSLY	P IY D IH AO UW S L Y
STEAD	S T IH AH D
STEAD	S T AH AH D
STEAD	S T IH AH T
STEAD	S D IH AH D
FORTHWITH	F AO R T HH W IY T HH
FORTHWITH	F AH R T HH W AH T HH
FORTHWITH	F AO R D HH W IY D HH
RELATES	R IH L AH T IH S
RELATES	R AH L AH T AH S
RELATES	R IH L AH D IH S
COMMITTING	K AO M M IY T T IY N G
COMMITTING	K AH M M AH T T AH N G
COMMITTING	K AO M M IY D D IY N G
AVENGE	AH V IH N G IH
AVENGE	AH V AH N G AH
ACKNOWLEDGMENT	AH K K N AO W L IH D G M IH N T
ACKNOWLEDGMENT	AH K K N AH W L AH D G M AH N T
GRECIAN	G R IH K IY AH N
GRECIAN	G R AH K AH AH N
APPLICATIONS	AH P P L IY K AH T IY AO N S
APPLICATIONS	AH P P L AH K AH T AH AH N S
APPLICATIONS	AH P P L IY K AH D IY AO N S
POSTERITY	P AO S T IH R IY T Y
POSTERITY	P AH S T AH R AH T Y
POSTERITY	P AO S D IH R IY D Y
COMMENDATION	K AO M M IH N D AH T IY AO N
COMMENDATION	K AH M M AH N D AH T AH AH N
COMMENDATION	K AO M M IH N D AH D IY AO N
AVARICIOUS	AH V AH R IY K IY AO UW S
AVARICIOUS	AH V AH R AH K AH AH AH S
DECAYING	D IH K AH Y IY N G
DECAYING	D AH K AH Y AH N G
BEWARE	B IH W AH R IH
BEWARE	B AH W AH R AH
HUGH	HH UW G HH
HUGH	HH AH G HH
VIDA	V IY D AH
VIDA	V AH D AH
HOBBLED	HH AO B B L IH D
HOBBLED	HH AH B B L AH D
HOBBLED	HH AO B B L IH T
CHAMP	CH AH M P
ASSISTANTS	AH S S IY S T AH N T S
ASSISTANTS	AH S S AH S T AH N T S
ASSISTANTS	AH S S IY S D AH N D S
WATCHMAN	W AH T K HH M AH N
WATCHMAN	W AH D K HH M AH N
DISCHARGED	D IY S K HH AH R G IH D
DISCHARGED	D AH S K HH AH R G AH D
DISCHARGED	D IY S K HH AH R G IH T
BLOUSE	B L AO UW S IH
BLOUSE	B L AH AH S AH
ESTABLISHING	IH S T AH B L IY S HH IY N G
ESTABLISHING	AH S T AH B L AH S HH AH N G
ESTABLISHING	IH S D AH B L IY S HH IY N G
INSULTED	IY N S UW L T IH D
INSULTED	AH N S AH L T AH D
INSULTED	IY N S UW L T IH T
INSULTED	IY N S UW L D IH D
HINTS	HH IY N T S
HINTS	HH AH N T S
HINTS	HH IY N D S
HUDSON	HH UW D S AO N
HUDSON	HH AH D S AH N
PITCHER	P IY T K HH IH R
PITCHER	P AH T K HH AH R
PITCHER	P IY D K HH IH R
BROADWAY	B R AO AH D W AH Y
BROADWAY	B R AH AH D W AH Y
LOCATION	L AO K AH T IY AO N
LOCATION	L AH K AH T AH AH N
LOCATION	L AO K AH D IY AO N
WHOLESALE	W HH AO L IH S AH L IH
WHOLESALE	W HH AH L AH S AH L AH
LINKED	L IY N K IH D
LINKED	L AH N K AH D
LINKED	L IY N K IH T
LACKED	L AH K K IH D
LACKED	L AH K K AH D
LACKED	L AH K K IH T
STREAK	S T R IH AH K
STREAK	S T R AH AH K
STREAK	S D R IH AH K
CASUALLY	K AH S UW AH L L Y
CASUALLY	K AH S AH AH L L Y
PROVINCIAL	P R AO V IY N K IY AH L
PROVINCIAL	P R AH V AH N K AH AH L
SPRAWLED	S P R AH W L IH D
SPRAWLED	S P R AH W L AH D
SPRAWLED	S P R AH W L IH T
SOOT	S AO AO T
SOOT	S AH AH T
MANUFACTURERS	M AH N UW F AH K T UW R IH R S
MANUFACTURERS	M AH N AH F AH K T AH R AH R S
MANUFACTURERS	M AH N UW F AH K D UW R IH R S
TASKS	T AH S K S
BROWNISH	B R AO W N IY S HH
BROWNISH	B R AH W N AH S HH
DOORWAYS	D AO AO R W AH Y S
DOORWAYS	D AH AH R W AH Y S
CORNERED	K AO R N IH R IH D
CORNERED	K AH R N AH R AH D
CORNERED	K AO R N IH R IH T
USHERED	UW S HH IH R IH D
USHERED	AH S HH AH R AH D
USHERED	UW S HH IH R IH T
RENAUD	R IH N AH UW D
RENAUD	R AH N AH AH D
RENAUD	R IH N AH UW T
EFFICACY	IH F F IY K AH K Y
EFFICACY	AH F F AH K AH K Y
FOCUS	F AO K UW S
FOCUS	F AH K AH S
REMINDS	R IH M IY N D S
REMINDS	R AH M AH N D S
GRACIOUSLY	G R AH K IY AO UW S L Y
GRACIOUSLY	G R AH K AH AH AH S L Y
DISPUTED	D IY S P UW T IH D
DISPUTED	D AH S P AH T AH D
DISPUTED	D IY S P UW T IH T
DISPUTED	D IY S P UW D IH D
WAGER	W AH G IH R
WAGER	W AH G AH R
FATHOM	F AH T HH AO M
FATHOM	F AH T HH AH M
FATHOM	F AH D HH AO M
GLISTENING	G L IY S T IH N IY N G
GLISTENING	G L AH S T AH N AH N G
GLISTENING	G L IY S D IH N IY N G
UNWELCOME	UW N W IH L K AO M IH
UNWELCOME	AH N W AH L K AH M AH
RATTLING	R AH T T L IY N G
RATTLING	R AH T T L AH N G
RATTLING	R AH D D L IY N G
POLICEMEN	P AO L IY K IH M IH N
POLICEMEN	P AH L AH K AH M AH N
THRUSTING	TH R UW S T IY N G
THRUSTING	TH R AH S T AH N G
THRUSTING	TH R UW S D IY N G
EXTERIOR	IH K S T IH R IY AO R
EXTERIOR	AH K S T AH R AH AH R
EXTERIOR	IH K S D IH R IY AO R
LIGHTING	L IY G HH T IY N G
LIGHTING	L AH G HH T AH N G
LIGHTING	L IY G HH D IY N G
PADDED	P AH D D IH D
PADDED	P AH D D AH D
PADDED	P AH D D IH T
CUSHIONS	K UW S HH IY AO N S
CUSHIONS	K AH S HH AH AH N S
CROPS	K R AO P S
CROPS	K R AH P S
TELEGRAPHED	T IH L IH G R AH P HH IH D
TELEGRAPHED	T AH L AH G R AH P HH AH D
TELEGRAPHED	T IH L IH G R AH P HH IH T
PAYS	P AH Y S
LUSTER	L UW S T IH R
LUSTER	L AH S T AH R
LUSTER	L UW S D IH R
HIP	HH IY P
PRACTICES	P R AH K T IY K IH S
PRACTICES	P R AH K T AH K AH S
PRACTICES	P R AH K D IY K IH S
SOLVED	S AO L V IH D
SOLVED	S AH L V AH D
SOLVED	S AO L V IH T
PREVALENT	P R IH V AH L IH N T
PREVALENT	P R AH V AH L AH N T
FINS	F IY N S
FINS	F AH N S
MUZZLE	M UW Z Z L IH
MUZZLE	M AH Z Z L AH
GREENISH	G R IH IH N IY S HH
GREENISH	G R AH AH N AH S HH
PRINTS	P R IY N T S
PRINTS	P R AH N T S
PRINTS	P R IY N D S
BUCKLE	B UW K K L IH
BUCKLE	B AH K K L AH
STRAND	S T R AH N D
STRAND	S T R AH N T
STRAND	S D R AH N D
RETINUE	R IH T IY N UW IH
RETINUE	R AH T AH N AH AH
RETINUE	R IH D IY N UW IH
YON	Y AO N
GOWNS	G AO W N S
GOWNS	G AH W N S
RESIDED	R IH S IY D IH D
RESIDED	R AH S AH D AH D
RESIDED	R IH S IY D IH T
TREATS	T R IH AH T S
TREATS	T R AH AH T S
TREATS	T R IH AH D S
COOPER	K AO AO P IH R
COOPER	K AH AH P AH R
MATURED	M AH T UW R IH D
MATURED	M AH T AH R AH D
MATURED	M AH T UW R IH T
MATURED	M AH D UW R IH D
EXPENDED	IH K S P IH N D IH D
EXPENDED	AH K S P AH N D AH D
EXPENDED	IH K S P IH N D IH T
DISINTERESTED	D IY S IY N T IH R IH S T IH D
DISINTERESTED	D AH S AH N T AH R AH S T AH D
DISINTERESTED	D IY S IY N T IH R IH S T IH T
DISINTERESTED	D IY S IY N D IH R IH S D IH D
MARRIAGES	M AH R R IY AH G IH S
MARRIAGES	M AH R R AH AH G AH S
PERSONAGES	P IH R S AO N AH G IH S
PERSONAGES	P AH R S AH N AH G AH S
PSYCHOTHERAPY	P S Y K HH AO T HH IH R AH P Y
PSYCHOTHERAPY	P S Y K HH AH T HH AH R AH P Y
PSYCHOTHERAPY	P S Y K HH AO D HH IH R AH P Y
HYPNOTIST	HH Y P N AO T IY S T
HYPNOTIST	HH Y P N AH T AH S T
HYPNOTIST	HH Y P N AO D IY S T
MAGNETIC	M AH G N IH T IY K
MAGNETIC	M AH G N AH T AH K
MAGNETIC	M AH G N IH D IY K
AGENCY	AH G IH N K Y
AGENCY	AH G AH N K Y
OUTCOME	AO UW T K AO M IH
OUTCOME	AH AH T K AH M AH
OUTCOME	AO UW D K AO M IH
ORGANIC	AO R G AH N IY K
ORGANIC	AH R G AH N AH K
PURPOSIVE	P UW R P AO S IY V IH
PURPOSIVE	P AH R P AH S AH V AH
CAUSAL	K AH UW S AH L
CAUSAL	K AH AH S AH L
TENDENCIES	T IH N D IH N K IY IH S
TENDENCIES	T AH N D AH N K AH AH S
VICTORIOUS	V IY K T AO R IY AO UW S
VICTORIOUS	V AH K T AH R AH AH AH S
VICTORIOUS	V IY K D AO R IY AO UW S
MORPHINE	M AO R P HH IY N IH
MORPHINE	M AH R P HH AH N AH
COURAGEOUS	K AO UW R AH G IH AO UW S
COURAGEOUS	K AH AH R AH G AH AH AH S
GRAINS	G R AH IY N S
GRAINS	G R AH AH N S
UNFAIR	UW N F AH IY R
UNFAIR	AH N F AH AH R
MAXIMS	M AH K S IY M S
MAXIMS	M AH K S AH M S
UNTOUCHED	UW N T AO UW K HH IH D
UNTOUCHED	AH N T AH AH K HH AH D
UNTOUCHED	UW N T AO UW K HH IH T
UNTOUCHED	UW N D AO UW K HH IH D
SKILLFUL	S K IY L L F UW L
SKILLFUL	S K AH L L F AH L
INJURIES	IY N JH UW R IY IH S
INJURIES	AH N JH AH R AH AH S
IGNORING	IY G N AO R IY N G
IGNORING	AH G N AH R AH N G
INVOLVES	IY N V AO L V IH S
INVOLVES	AH N V AH L V AH S
INTRUSION	IY N T R UW S IY AO N
INTRUSION	AH N T R AH S AH AH N
INTRUSION	IY N D R UW S IY AO N
LABEL	L AH B IH L
LABEL	L AH B AH L
EATERS	IH AH T IH R S
EATERS	AH AH T AH R S
EATERS	IH AH D IH R S
HOPS	HH AO P S
HOPS	HH AH P S
HELLO	HH IH L L AO
HELLO	HH AH L L AH
POKED	P AO K IH D
POKED	P AH K AH D
POKED	P AO K IH T
EATS	IH AH T S
EATS	AH AH T S
EATS	IH AH D S
RUBBER	R UW B B IH R
RUBBER	R AH B B AH R
CUNNINGLY	K UW N N IY N G L Y
CUNNINGLY	K AH N N AH N G L Y
THERMOMETER	TH IH R M AO M IH T IH R
THERMOMETER	TH AH R M AH M AH T AH R
THERMOMETER	TH IH R M AO M IH D IH R
REALISED	R IH AH L IY S IH D
REALISED	R AH AH L AH S AH D
REALISED	R IH AH L IY S IH T
BLOTTED	B L AO T T IH D
BLOTTED	B L AH T T AH D
BLOTTED	B L AO T T IH T
BLOTTED	B L AO D D IH D
PROJECTING	P R AO JH IH K T IY N G
PROJECTING	P R AH JH AH K T AH N G
PROJECTING	P R AO JH IH K D IY N G
SIDED	S IY D IH D
SIDED	S AH D AH D
SIDED	S IY D IH T
MERITED	M IH R IY T IH D
MERITED	M AH R AH T AH D
MERITED	M IH R IY T IH T
MERITED	M IH R IY D IH D
GENTLENESS	G IH N T L IH N IH S S
GENTLENESS	G AH N T L AH N AH S S
GENTLENESS	G IH N D L IH N IH S S
SENTENCES	S IH N T IH N K IH S
SENTENCES	S AH N T AH N K AH S
SENTENCES	S IH N D IH N K IH S
EXACTING	IH K S AH K T IY N G
EXACTING	AH K S AH K T AH N G
EXACTING	IH K S AH K D IY N G
IMMINENT	IY M M IY N IH N T
IMMINENT	AH M M AH N AH N T
SCRUPLE	S K R UW P L IH
SCRUPLE	S K R AH P L AH
STAGGERING	S T AH G G IH R IY N G
STAGGERING	S T AH G G AH R AH N G
STAGGERING	S D AH G G IH R IY N G
LAMENTABLE	L AH M IH N T AH B L IH
LAMENTABLE	L AH M AH N T AH B L AH
LAMENTABLE	L AH M IH N D AH B L IH
DISREGARDED	D IY S R IH G AH R D IH D
DISREGARDED	D AH S R AH G AH R D AH D
DISREGARDED	D IY S R IH G AH R D IH T
PROVOCATION	P R AO V AO K AH T IY AO N
PROVOCATION	P R AH V AH K AH T AH AH N
PROVOCATION	P R AO V AO K AH D IY AO N
DRILY	D R IY L Y
DRILY	D R AH L Y
ORIGINATED	AO R IY G IY N AH T IH D
ORIGINATED	AH R AH G AH N AH T AH D
ORIGINATED	AO R IY G IY N AH T IH T
ORIGINATED	AO R IY G IY N AH D IH D
WANING	W AH N IY N G
WANING	W AH N AH N G
PEERAGE	P IH IH R AH G IH
PEERAGE	P AH AH R AH G AH
FARMS	F AH R M S
ACQUIRING	AH K K UW IY R IY N G
ACQUIRING	AH K K AH AH R AH N G
WEAKENED	W IH AH K IH N IH D
WEAKENED	W AH AH K AH N AH D
WEAKENED	W IH AH K IH N IH T
LEDGE	L IH D G IH
LEDGE	L AH D G AH
GRANDSON	G R AH N D S AO N
GRANDSON	G R AH N D S AH N
CAVITIES	K AH V IY T IY IH S
CAVITIES	K AH V AH T AH AH S
CAVITIES	K AH V IY D IY IH S
ASTONISH	AH S T AO N IY S HH
ASTONISH	AH S T AH N AH S HH
ASTONISH	AH S D AO N IY S HH
COMPANION'S	K AO M P AH N IY AO N S
COMPANION'S	K AH M P AH N AH AH N S
DELIVERING	D IH L IY V IH R IY N G
DELIVERING	D AH L AH V AH R AH N G
FOOTPATH	F AO AO T P AH T HH
FOOTPATH	F AH AH T P AH T HH
FOOTPATH	F AO AO D P AH D HH
SCOLDING	S K AO L D IY N G
SCOLDING	S K AH L D AH N G
ASCEND	AH S K IH N D
ASCEND	AH S K AH N D
ASCEND	AH S K IH N T
STAMP	S T AH M P
STAMP	S D AH M P
ROVING	R AO V IY N G
ROVING	R AH V AH N G
CANOPY	K AH N AO P Y
CANOPY	K AH N AH P Y
RUDENESS	R UW D IH N IH S S
RUDENESS	R AH D AH N AH S S
FARED	F AH R IH D
FARED	F AH R AH D
FARED	F AH R IH T
DISASTERS	D IY S AH S T IH R S
DISASTERS	D AH S AH S T AH R S
DISASTERS	D IY S AH S D IH R S
MISERIES	M IY S IH R IY IH S
MISERIES	M AH S AH R AH AH S
DETESTABLE	D IH T IH S T AH B L IH
DETESTABLE	D AH T AH S T AH B L AH
DETESTABLE	D IH D IH S D AH B L IH
CONSULT	K AO N S UW L T
CONSULT	K AH N S AH L T
STRANGLED	S T R AH N G L IH D
STRANGLED	S T R AH N G L AH D
STRANGLED	S T R AH N G L IH T
STRANGLED	S D R AH N G L IH D
MISERABLY	M IY S IH R AH B L Y
MISERABLY	M AH S AH R AH B L Y
PREFERABLE	P R IH F IH R AH B L IH
PREFERABLE	P R AH F AH R AH B L AH
EDEN	IH D IH N
EDEN	AH D AH N
INCURRED	IY N K UW R R IH D
INCURRED	AH N K AH R R AH D
INCURRED	IY N K UW R R IH T
VOLITION	V AO L IY T IY AO N
VOLITION	V AH L AH T AH AH N
VOLITION	V AO L IY D IY AO N
UNCONTROLLABLE	UW N K AO N T R AO L L AH B L IH
UNCONTROLLABLE	AH N K AH N T R AH L L AH B L AH
UNCONTROLLABLE	UW N K AO N D R AO L L AH B L IH
BURDENS	B UW R D IH N S
BURDENS	B AH R D AH N S
ASSEMBLE	AH S S IH M B L IH
ASSEMBLE	AH S S AH M B L AH
CONVERT	K AO N V IH R T
CONVERT	K AH N V AH R T
ENCAMPMENT	IH N K AH M P M IH N T
ENCAMPMENT	AH N K AH M P M AH N T
PAUSING	P AH UW S IY N G
PAUSING	P AH AH S AH N G
AUSTERE	AH UW S T IH R IH
AUSTERE	AH AH S T AH R AH
AUSTERE	AH UW S D IH R IH
ALLUSION	AH L L UW S IY AO N
ALLUSION	AH L L AH S AH AH N
REGAIN	R IH G AH IY N
REGAIN	R AH G AH AH N
TIRE	T IY R IH
TIRE	T AH R AH
PROFITABLE	P R AO F IY T AH B L IH
PROFITABLE	P R AH F AH T AH B L AH
PROFITABLE	P R AO F IY D AH B L IH
ASSEMBLAGE	AH S S IH M B L AH G IH
ASSEMBLAGE	AH S S AH M B L AH G AH
VALIANT	V AH L IY AH N T
VALIANT	V AH L AH AH N T
INFLAMED	IY N F L AH M IH D
INFLAMED	AH N F L AH M AH D
INFLAMED	IY N F L AH M IH T
TRIPS	T R IY P S
TRIPS	T R AH P S
STATING	S T AH T IY N G
STATING	S T AH T AH N G
STATING	S D AH D IY N G
MILLTOWN	M IY L L T AO W N
MILLTOWN	M AH L L T AH W N
MILLTOWN	M IY L L D AO W N
SUBMERGED	S UW B M IH R G IH D
SUBMERGED	S AH B M AH R G AH D
SUBMERGED	S UW B M IH R G IH T
BEWILDERING	B IH W IY L D IH R IY N G
BEWILDERING	B AH W AH L D AH R AH N G
WHIMSICAL	W HH IY M S IY K AH L
WHIMSICAL	W HH AH M S AH K AH L
QUERIED	K UW IH R IY IH D
QUERIED	K AH AH R AH AH D
QUERIED	K UW IH R IY IH T
ALLUDING	AH L L UW D IY N G
ALLUDING	AH L L AH D AH N G
ARABIAN	AH R AH B IY AH N
ARABIAN	AH R AH B AH AH N
TRAVELER	T R AH V IH L IH R
TRAVELER	T R AH V AH L AH R
FLANNEL	F L AH N N IH L
FLANNEL	F L AH N N AH L
GOIN	G AO IY N
GOIN	G AH AH N
PHILANTHROPY	P HH IY L AH N T HH R AO P Y
PHILANTHROPY	P HH AH L AH N T HH R AH P Y
PHILANTHROPY	P HH IY L AH N D HH R AO P Y
FLOWN	F L AO W N
FLOWN	F L AH W N
LOYALLY	L AO Y AH L L Y
LOYALLY	L AH Y AH L L Y
SQUEEZE	S K UW IH IH Z IH
SQUEEZE	S K AH AH AH Z AH
HEARSE	HH IH AH R S IH
HEARSE	HH AH AH R S AH
PEAS	P IH AH S
PEAS	P AH AH S
MYSTERIOUSLY	M Y S T IH R IY AO UW S L Y
MYSTERIOUSLY	M Y S T AH R AH AH AH S L Y
MYSTERIOUSLY	M Y S D IH R IY AO UW S L Y
OWNS	AO W N S
OWNS	AH W N S
LANGUIDLY	L AH N G UW IY D L Y
LANGUIDLY	L AH N G AH AH D L Y
QUOTED	K UW AO T IH D
QUOTED	K AH AH T AH D
QUOTED	K UW AO T IH T
QUOTED	K UW AO D IH D
CHIRPED	CH IY R P IH D
CHIRPED	CH AH R P AH D
CHIRPED	CH IY R P IH T
EUPHRATES	IH UW P HH R AH T IH S
EUPHRATES	AH AH P HH R AH T AH S
EUPHRATES	IH UW P HH R AH D IH S
BAGDAD	B AH G D AH D
BAGDAD	B AH G D AH T
DIMINISHING	D IY M IY N IY S HH IY N G
DIMINISHING	D AH M AH N AH S HH AH N G
TRIBUNAL	T R IY B UW N AH L
TRIBUNAL	T R AH B AH N AH L
INVESTED	IY N V IH S T IH D
INVESTED	AH N V AH S T AH D
INVESTED	IY N V IH S T IH T
INVESTED	IY N V IH S D IH D
PROSTRATED	P R AO S T R AH T IH D
PROSTRATED	P R AH S T R AH T AH D
PROSTRATED	P R AO S T R AH T IH T
PROSTRATED	P R AO S D R AH D IH D
SANCTUARY	S AH N K T UW AH R Y
SANCTUARY	S AH N K T AH AH R Y
SANCTUARY	S AH N K D UW AH R Y
AMENDS	AH M IH N D S
AMENDS	AH M AH N D S
JEWELLERS	JH IH W IH L L IH R S
JEWELLERS	JH AH W AH L L AH R S
SYNDIC'S	S Y N D IY K S
SYNDIC'S	S Y N D AH K S
OCCASIONED	AO K K AH S IY AO N IH D
OCCASIONED	AH K K AH S AH AH N AH D
OCCASIONED	AO K K AH S IY AO N IH T
CONSORT	K AO N S AO R T
CONSORT	K AH N S AH R T
CAMEL	K AH M IH L
CAMEL	K AH M AH L
MANAGING	M AH N AH G IY N G
MANAGING	M AH N AH G AH N G
DECEITFUL	D IH K IH IY T F UW L
DECEITFUL	D AH K AH AH T F AH L
DECEITFUL	D IH K IH IY D F UW L
INDISPOSED	IY N D IY S P AO S IH D
INDISPOSED	AH N D AH S P AH S AH D
INDISPOSED	IY N D IY S P AO S IH T
PERSECUTED	P IH R S IH K UW T IH D
PERSECUTED	P AH R S AH K AH T AH D
PERSECUTED	P IH R S IH K UW T IH T
PERSECUTED	P IH R S IH K UW D IH D
ACCIDENTS	AH K K IY D IH N T S
ACCIDENTS	AH K K AH D AH N T S
ACCIDENTS	AH K K IY D IH N D S
CHARMED	CH AH R M IH D
CHARMED	CH AH R M AH D
CHARMED	CH AH R M IH T
SCOLD	S K AO L D
SCOLD	S K AH L D
SCOLD	S K AO L T
GROSBEAK	G R AO S B IH AH K
GROSBEAK	G R AH S B AH AH K
EQUIVALENT	IH K UW IY V AH L IH N T
EQUIVALENT	AH K AH AH V AH L AH N T
ANGULAR	AH N G UW L AH R
ANGULAR	AH N G AH L AH R
MARAUDING	M AH R AH UW D IY N G
MARAUDING	M AH R AH AH D AH N G
BARRACKS	B AH R R AH K K S
PONDERED	P AO N D IH R IH D
PONDERED	P AH N D AH R AH D
PONDERED	P AO N D IH R IH T
INTELLECTUALLY	IY N T IH L L IH K T UW AH L L Y
INTELLECTUALLY	AH N T AH L L AH K T AH AH L L Y
INTELLECTUALLY	IY N D IH L L IH K D UW AH L L Y
UNSELFISH	UW N S IH L F IY S HH
UNSELFISH	AH N S AH L F AH S HH
PREACHED	P R IH AH K HH IH D
PREACHED	P R AH AH K HH AH D
PREACHED	P R IH AH K HH IH T
SPECIFIED	S P IH K IY F IY IH D
SPECIFIED	S P AH K AH F AH AH D
SPECIFIED	S P IH K IY F IY IH T
BARBARITY	B AH R B AH R IY T Y
BARBARITY	B AH R B AH R AH T Y
BARBARITY	B AH R B AH R IY D Y
FLOWS	F L AO W S
FLOWS	F L AH W S
HOMER	HH AO M IH R
HOMER	HH AH M AH R
CORDIALITY	K AO R D IY AH L IY T Y
CORDIALITY	K AH R D AH AH L AH T Y
CORDIALITY	K AO R D IY AH L IY D Y
DEFECTIVE	D IH F IH K T IY V IH
DEFECTIVE	D AH F AH K T AH V AH
DEFECTIVE	D IH F IH K D IY V IH
DIVINITY	D IY V IY N IY T Y
DIVINITY	D AH V AH N AH T Y
DIVINITY	D IY V IY N IY D Y
BRUISED	B R UW IY S IH D
BRUISED	B R AH AH S AH D
BRUISED	B R UW IY S IH T
INAUDIBLE	IY N AH UW D IY B L IH
INAUDIBLE	AH N AH AH D AH B L AH
CHARCOAL	CH AH R K AO AH L
CHARCOAL	CH AH R K AH AH L
BREASTS	B R IH AH S T S
BREASTS	B R AH AH S T S
BREASTS	B R IH AH S D S
IMITATED	IY M IY T AH T IH D
IMITATED	AH M AH T AH T AH D
IMITATED	IY M IY T AH T IH T
IMITATED	IY M IY D AH D IH D
FITZ	F IY T Z
FITZ	F AH T Z
FITZ	F IY T S
FITZ	F IY D Z
STOUTLY	S T AO UW T L Y
STOUTLY	S T AH AH T L Y
STOUTLY	S D AO UW D L Y
SOAKED	S AO AH K IH D
SOAKED	S AH AH K AH D
SOAKED	S AO AH K IH T
DECEIT	D IH K IH IY T
DECEIT	D AH K AH AH T
STONY	S T AO N Y
STONY	S T AH N Y
STONY	S D AO N Y
PROMONTORY	P R AO M AO N T AO R Y
PROMONTORY	P R AH M AH N T AH R Y
PROMONTORY	P R AO M AO N D AO R Y
ALLUDED	AH L L UW D IH D
ALLUDED	AH L L AH D AH D
ALLUDED	AH L L UW D IH T
TONS	T AO N S
TONS	T AH N S
DISCORDANT	D IY S K AO R D AH N T
DISCORDANT	D AH S K AH R D AH N T
COILED	K AO IY L IH D
COILED	K AH AH L AH D
COILED	K AO IY L IH T
CARCASS	K AH R K AH S S
GALES	G AH L IH S
GALES	G AH L AH S
WILFUL	W IY L F UW L
WILFUL	W AH L F AH L
FAILURES	F AH IY L UW R IH S
FAILURES	F AH AH L AH R AH S
INDOORS	IY N D AO AO R S
INDOORS	AH N D AH AH R S
DELUSION	D IH L UW S IY AO N
DELUSION	D AH L AH S AH AH N
SHRUNK	SH R UW N K
SHRUNK	SH R AH N K
POOLS	P AO AO L S
POOLS	P AH AH L S
REVOLVER	R IH V AO L V IH R
REVOLVER	R AH V AH L V AH R
ACORNS	AH K AO R N S
ACORNS	AH K AH R N S
BLENDED	B L IH N D IH D
BLENDED	B L AH N D AH D
BLENDED	B L IH N D IH T
FLICKER	F L IY K K IH R
FLICKER	F L AH K K AH R
FELLOW'S	F IH L L AO W S
FELLOW'S	F AH L L AH W S
TADPOLES	T AH D P AO L IH S
TADPOLES	T AH D P AH L AH S
ELEVENTH	IH L IH V IH N T HH
ELEVENTH	AH L AH V AH N T HH
ELEVENTH	IH L IH V IH N D HH
SACRIFICING	S AH K R IY F IY K IY N G
SACRIFICING	S AH K R AH F AH K AH N G
WHISKED	W HH IY S K IH D
WHISKED	W HH AH S K AH D
WHISKED	W HH IY S K IH T
PREFERMENT	P R IH F IH R M IH N T
PREFERMENT	P R AH F AH R M AH N T
PINCHED	P IY N K HH IH D
PINCHED	P AH N K HH AH D
PINCHED	P IY N K HH IH T
PROPHECY	P R AO P HH IH K Y
PROPHECY	P R AH P HH AH K Y
TEMPTATIONS	T IH M P T AH T IY AO N S
TEMPTATIONS	T AH M P T AH T AH AH N S
TEMPTATIONS	T IH M P D AH D IY AO N S
GOSSIPING	G AO S S IY P IY N G
GOSSIPING	G AH S S AH P AH N G
PEE	P IH IH
DOWNY	D AO W N Y
DOWNY	D AH W N Y
DESERTS	D IH S IH R T S
DESERTS	D AH S AH R T S
DESERTS	D IH S IH R D S
NORTHWEST	N AO R T HH W IH S T
NORTHWEST	N AH R T HH W AH S T
NORTHWEST	N AO R D HH W IH S T
BUNDLES	B UW N D L IH S
BUNDLES	B AH N D L AH S
OPENINGS	AO P IH N IY N G S
OPENINGS	AH P AH N AH N G S
SILENCED	S IY L IH N K IH D
SILENCED	S AH L AH N K AH D
SILENCED	S IY L IH N K IH T
GNAWED	G N AH W IH D
GNAWED	G N AH W AH D
GNAWED	G N AH W IH T
THRILLS	TH R IY L L S
THRILLS	TH R AH L L S
TANGIBLE	T AH N G IY B L IH
TANGIBLE	T AH N G AH B L AH
VARIOUSLY	V AH R IY AO UW S L Y
VARIOUSLY	V AH R AH AH AH S L Y
PAUSES	P AH UW S IH S
PAUSES	P AH AH S AH S
CURL	K UW R L
CURL	K AH R L
PAGAN	P AH G AH N
BARD	B AH R D
BARD	B AH R T
HAM	HH AH M
UN	UW N
RECOGNIZING	R IH K AO G N IY Z IY N G
RECOGNIZING	R AH K AH G N AH Z AH N G
POKER	P AO K IH R
POKER	P AH K AH R
SIPPED	S IY P P IH D
SIPPED	S AH P P AH D
SIPPED	S IY P P IH T
DURABLE	D UW R AH B L IH
DURABLE	D AH R AH B L AH
